Make_Model,New_Avg_Price
Audi Q7,91.38
Mercedes-Benz GLE,88.60755669117209
Mercedes-Benz E-Class,84.04675000000002
Mercedes-Benz GLC,77.14853333333333
Jaguar XF,72.64
Land Rover,72.625
BMW X3,68.38250000000001
BMW 5,68.23343928640803
Audi A6,62.20616666666667
Jaguar XE,53.370000000000005
BMW 3,53.301566657233685
Audi A4,52.58478911564625
Mercedes-Benz C-Class,49.92
BMW X1,49.35377777777777
Audi Q3,45.86127777777778
Volvo S60,45.67
Mini Clubman,44.59
Mercedes-Benz CLA,44.13458333333333
Mini Cooper,42.338619603486784
Mercedes-Benz GLA,41.30041666666666
Toyota Camry,40.62
Toyota Fortuner,36.1586587777302
Skoda Superb,34.26668904508191
Mitsubishi Pajero,33.28370072751323
Skoda Octavia,28.37
Hyundai Tucson,25.75
Jeep Compass,23.46886353003388
Toyota Innova,23.239802122926328
Hyundai Elantra,22.66202380952381
Mahindra XUV500,21.33
Toyota Corolla,21.310483832406913
Tata Hexa,20.772222222222222
Nissan Terrano,15.925277777777778
Hyundai Creta,15.46550418731731
Honda BRV,14.694969387755103
Renault Duster,14.415796737213403
Skoda Rapid,14.379667857142858
Honda City,14.3142377991248
Hyundai Verna,14.076698775120107
Honda BR-V,13.464375
Volkswagen Vento,13.109285353893327
Ford EcoSport,12.376957671957673
Ford Ecosport,12.12
Tata Nexon,12.0325
Maruti Ertiga,11.831310646618336
Maruti S-Cross,11.76
Mahindra Xylo,11.673133333333332
Mahindra Thar,11.47
Maruti Vitara,11.091592829511177
Mahindra Bolero,11.080918253968255
Maruti Ciaz,10.908333333333331
Mahindra NuvoSport,10.8325
Nissan Sunny,10.635000000000002
Honda WRV,10.549791666666666
Hyundai i20,9.8675
Volkswagen Polo,9.594192313638743
Fiat Linea,9.5
Maruti Dzire,9.437341214648992
Ford Aspire,9.433888888888887
Volkswagen Ameo,9.32978130511464
Honda Jazz,9.32615217261371
Hyundai Elite,9.285416666666666
Mahindra Verito,9.158888888888889
Maruti Baleno,9.081075965700968
Honda Amaze,8.751351108487471
Nissan Micra,8.533894345238096
Ford Freestyle,8.188888888888888
Hyundai Xcent,8.156291005291006
Tata Zest,7.921957836642591
Toyota Etios,7.71015220385675
Mahindra KUV,7.68
Maruti Swift,7.634737125969268
Tata Bolt,7.579999999999999
Hyundai Grand,7.282704610040318
Maruti Ignis,7.26439880952381
Honda Brio,6.715753571428573
Tata Tiago,6.328465362415361
Datsun GO,6.280555555555556
Maruti Celerio,5.856409632034634
Maruti Wagon,5.392426093655958
Maruti Eeco,4.9606164604626155
Renault KWID,4.861078812804608
Maruti Alto,4.468749405532574
Datsun redi-GO,4.238277777777777
